category	file	region	slug	parser_ok	current_path	issues
02_作成済み	下福元町_テンプレート.txt	下福元町	shimofukumotocho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\下福元町_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-shimofukumotocho.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-shimofukumotocho.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-shimofukumotocho.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html
09_複合問題	下竜尾町.txt	下竜尾町	shimotatsuocho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\下竜尾町.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-shimotatsuocho.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-shimotatsuocho.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-shimotatsuocho.php / 一覧名違い: area list same-region slug mismatch: canonical=shimotatsuocho existing_region_slugs=shimoryubiocho / 作成済み: existing shared registration: HP/includefile/dataset_base.php
09_複合問題	与次郎_テンプレート.txt	与次郎	yojiro	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\与次郎_テンプレート.txt	一覧名違い: area list same-region slug mismatch: canonical=yojiro existing_region_slugs=yojirou / 作成済み: existing shared registration: HP/source/area.html
02_作成済み	中央港新町_テンプレート.txt	中央港新町	chuokoshinmachi	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\中央港新町_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-chuokoshinmachi.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-chuokoshinmachi.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-chuokoshinmachi.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html / 作成済み: existing shared registration: HP/sitemap.xml
02_作成済み	中央町_テンプレート.txt	中央町	chuocho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\中央町_テンプレート.txt	作成済み: existing shared registration: HP/source/area.html
03_一覧名違い	中山_テンプレート.txt	中山	chuzan	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\中山_テンプレート.txt	一覧名違い: area list same-region slug mismatch: canonical=chuzan existing_region_slugs=nakayama
03_一覧名違い	中山町_テンプレート.txt	中山町	chuzancho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\中山町_テンプレート.txt	一覧名違い: area list same-region slug mismatch: canonical=chuzancho existing_region_slugs=nakayamacho
03_一覧名違い	中町_テンプレート.txt	中町	nakamachi	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\中町_テンプレート.txt	一覧名違い: area list same-region slug mismatch: canonical=nakamachi existing_region_slugs=nakacho
02_作成済み	五ヶ別府町_テンプレート.txt	五ヶ別府町	gokabeppucho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\五ヶ別府町_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-gokabeppucho.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-gokabeppucho.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-gokabeppucho.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html
09_複合問題	伊敷.txt	aaaaaaaaaaaaaaaaaaaa	ishiki	no	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\08_複合_画像無し_情報足りない_間違い\伊敷.txt	入力不備: 人気デリヘル店sceneの情報が不足しています / 情報足りない: L15 - 地図URL が未入力です（【1】地図URL） / 未管理: direct input is not tracked in HEAD: HP/Text_area_data/伊敷.txt / 作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-ishiki.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-ishiki.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-ishiki.php / 作成済み: existing shared registration: HP/source/area.html / 作成済み: existing shared registration: HP/sitemap.xml
09_複合問題	伊敷台_テンプレート.txt	aaaaaaaaaaaaaaaaaaaa	ishikidai	no	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\08_複合_画像無し_情報足りない_間違い\伊敷台_テンプレート.txt	入力不備: template_shop.htmlにない店舗名です: 劇場団地妻 / 情報足りない: L72 未確認 / 未管理: direct input is not tracked in HEAD: HP/Text_area_data/伊敷台_テンプレート.txt / 作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-ishikidai.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-ishikidai.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-ishikidai.php / 作成済み: existing shared registration: HP/source/area.html / 作成済み: existing shared registration: HP/sitemap.xml
02_作成済み	住吉町_テンプレート.txt	住吉町	sumiyoshicho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\住吉町_テンプレート.txt	作成済み: existing shared registration: HP/source/area.html
02_作成済み	光山_テンプレート.txt	光山	hikariyama	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\光山_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-hikariyama.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-hikariyama.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-hikariyama.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html / 作成済み: existing shared registration: HP/sitemap.xml
09_複合問題	入佐町_テンプレート.txt	入佐町	irisacho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\入佐町_テンプレート.txt	未管理: direct input is not tracked in HEAD: HP/Text_area_data/入佐町_テンプレート.txt / 作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-irisacho.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-irisacho.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-irisacho.php / 作成済み: existing shared registration: HP/source/area.html / 作成済み: existing shared registration: HP/sitemap.xml
02_作成済み	冷水町_テンプレート.txt	冷水町	hiyamizucho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\冷水町_テンプレート.txt	作成済み: existing shared registration: HP/source/area.html
02_作成済み	千日町_テンプレート.txt	千日町	sennichicho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\千日町_テンプレート.txt	作成済み: existing shared registration: HP/source/area.html
03_一覧名違い	南新町_テンプレート.txt	南新町	minamishinmachi	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\南新町_テンプレート.txt	一覧名違い: area list same-region slug mismatch: canonical=minamishinmachi existing_region_slugs=minamishimmachi
02_作成済み	南林寺町_テンプレート.txt	南林寺町	nanrinjicho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\南林寺町_テンプレート.txt	作成済み: existing shared registration: HP/source/area.html
03_一覧名違い	南栄_テンプレート.txt	南栄	nanei	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\南栄_テンプレート.txt	一覧名違い: area list same-region slug mismatch: canonical=nanei existing_region_slugs=minamiei
02_作成済み	南郡元町_テンプレート.txt	南郡元町	minamikorimotocho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\南郡元町_テンプレート.txt	作成済み: existing shared registration: HP/source/area.html
09_複合問題	卸本町_テンプレート.txt	卸本町	oroshihonmachi	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\卸本町_テンプレート.txt	未管理: direct input is not tracked in HEAD: HP/Text_area_data/卸本町_テンプレート.txt / 作成済み: existing shared registration: HP/source/area.html
02_作成済み	原良_テンプレート.txt	原良	harara	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\原良_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-harara.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-harara.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-harara.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html / 作成済み: existing shared registration: HP/sitemap.xml
02_作成済み	吉野_テンプレート.txt	吉野	yoshino	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\吉野_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-yoshino.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-yoshino.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-yoshino.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html / 作成済み: existing shared registration: HP/sitemap.xml
02_作成済み	吉野町_テンプレート.txt	吉野町	yoshinocho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\吉野町_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-yoshinocho.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-yoshinocho.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-yoshinocho.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html / 作成済み: existing shared registration: HP/sitemap.xml
02_作成済み	名山町_テンプレート.txt	名山町	meizancho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\名山町_テンプレート.txt	作成済み: existing shared registration: HP/source/area.html
09_複合問題	向陽_テンプレート.txt	向陽	koyo	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\02_画像無し\向陽_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-koyo.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-koyo.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-koyo.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html / 画像なし: missing image: HP/imgHtml/new_202601/area/kagoshima-deliveryhealth-area-koyo_1.jpg / 画像なし: missing image: HP/imgHtml/new_202601/area/kagoshima-deliveryhealth-area-koyo_2.jpg
02_作成済み	呉服町_テンプレート.txt	呉服町	gofukucho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\呉服町_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-gofukucho.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-gofukucho.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-gofukucho.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html
02_作成済み	和田_テンプレート.txt	和田	wada	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\和田_テンプレート.txt	作成済み: existing shared registration: HP/source/area.html
03_一覧名違い	唐湊_テンプレート.txt	唐湊	toso	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\唐湊_テンプレート.txt	一覧名違い: area list same-region slug mismatch: canonical=toso existing_region_slugs=tomino
09_複合問題	喜入中名町_テンプレート.txt	喜入中名町	kiirenakamyocho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\喜入中名町_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-kiirenakamyocho.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-kiirenakamyocho.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-kiirenakamyocho.php / 一覧名違い: area list same-region slug mismatch: canonical=kiirenakamyocho existing_region_slugs=kiirenakacho
02_作成済み	喜入町_テンプレート.txt	喜入町	kiirecho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\喜入町_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-kiirecho.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-kiirecho.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-kiirecho.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html
02_作成済み	四元町_テンプレート.txt	四元町	yotsumotocho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\四元町_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-yotsumotocho.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-yotsumotocho.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-yotsumotocho.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html / 作成済み: existing shared registration: HP/sitemap.xml
02_作成済み	坂之上_テンプレート.txt	坂之上	sakanoue	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\坂之上_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-sakanoue.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-sakanoue.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-sakanoue.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html
02_作成済み	坂元町_テンプレート.txt	坂元町	sakamotocho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\坂元町_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-sakamotocho.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-sakamotocho.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-sakamotocho.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html
09_複合問題	城南町_テンプレート.txt	城南町	jonancho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\02_画像無し\城南町_テンプレート.txt	一覧名違い: area list same-region slug mismatch: canonical=jonancho existing_region_slugs=jonamicho / 画像なし: missing image: HP/imgHtml/new_202601/area/kagoshima-deliveryhealth-area-jonancho_1.jpg / 画像なし: missing image: HP/imgHtml/new_202601/area/kagoshima-deliveryhealth-area-jonancho_2.jpg
02_作成済み	城山_テンプレート.txt	城山	shiroyama	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\城山_テンプレート.txt	作成済み: existing shared registration: HP/source/area.html
02_作成済み	城山町_テンプレート.txt	城山町	shiroyamacho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\城山町_テンプレート.txt	作成済み: existing shared registration: HP/source/area.html
03_一覧名違い	城西_テンプレート.txt	城西	josei	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\城西_テンプレート.txt	一覧名違い: area list same-region slug mismatch: canonical=josei existing_region_slugs=jozai
02_作成済み	堀江町_テンプレート.txt	堀江町	horiecho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\堀江町_テンプレート.txt	作成済み: existing shared registration: HP/source/area.html
03_一覧名違い	大明丘_テンプレート.txt	大明丘	daimyogaoka	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\大明丘_テンプレート.txt	一覧名違い: area list same-region slug mismatch: canonical=daimyogaoka existing_region_slugs=daimeigaoka
09_複合問題	大竜町_テンプレート.txt	大竜町	dairyuucho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\02_画像無し\大竜町_テンプレート.txt	一覧名違い: area list same-region slug mismatch: canonical=dairyuucho existing_region_slugs=dairyucho / 画像なし: missing image: HP/imgHtml/new_202601/area/kagoshima-deliveryhealth-area-dairyuucho_1.jpg / 画像なし: missing image: HP/imgHtml/new_202601/area/kagoshima-deliveryhealth-area-dairyuucho_2.jpg
02_作成済み	大黒町_テンプレート.txt	大黒町	daikokucho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\大黒町_テンプレート.txt	作成済み: existing shared registration: HP/source/area.html
09_複合問題	天保山町_テンプレート.txt	天保山町	tenpozancho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\02_画像無し\天保山町_テンプレート.txt	作成済み: existing shared registration: HP/source/area.html / 画像なし: missing image: HP/imgHtml/new_202601/area/kagoshima-deliveryhealth-area-tenpozancho_1.jpg / 画像なし: missing image: HP/imgHtml/new_202601/area/kagoshima-deliveryhealth-area-tenpozancho_2.jpg
09_複合問題	宇宿_テンプレート.txt	aaaaaaaaaaaaaaaaaaaa	usuki	no	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\08_複合_画像無し_情報足りない_間違い\宇宿_テンプレート.txt	入力不備: 通常記事sceneの情報が不足しています / 未管理: direct input is not tracked in HEAD: HP/Text_area_data/宇宿_テンプレート.txt / 作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-usuki.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-usuki.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-usuki.php / 作成済み: existing shared registration: HP/source/area.html / 作成済み: existing shared registration: HP/sitemap.xml
03_一覧名違い	宮之浦町_テンプレート.txt	宮之浦町	miyanouracho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\宮之浦町_テンプレート.txt	一覧名違い: area list same-region slug mismatch: canonical=miyanouracho existing_region_slugs=miyanouramachi
09_複合問題	小原町_テンプレート.txt	aaaaaaaaaaaaaaaaaaaa		no	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\08_複合_画像無し_情報足りない_間違い\小原町_テンプレート.txt	入力不備: 必須項目不足: canonical slug / 間違い: L59 placeholder残り / 間違い: canonical slug missing / 未管理: direct input is not tracked in HEAD: HP/Text_area_data/小原町_テンプレート.txt / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html / 作成済み: existing shared registration: HP/sitemap.xml / 画像なし: missing image: HP/imgHtml/new_202601/area/kagoshima-deliveryhealth-area-_1.jpg / 画像なし: missing image: HP/imgHtml/new_202601/area/kagoshima-deliveryhealth-area-_2.jpg
02_作成済み	小山田町_テンプレート.txt	小山田町	koyamadacho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\小山田町_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-koyamadacho.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-koyamadacho.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-koyamadacho.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html
09_複合問題	小川町_テンプレート.txt	aaaaaaaaaaaaaaaaaaaa		no	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\08_複合_画像無し_情報足りない_間違い\小川町_テンプレート.txt	入力不備: 必須項目不足: canonical slug / 間違い: canonical slug missing / 未管理: direct input is not tracked in HEAD: HP/Text_area_data/小川町_テンプレート.txt / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html / 作成済み: existing shared registration: HP/sitemap.xml / 画像なし: missing image: HP/imgHtml/new_202601/area/kagoshima-deliveryhealth-area-_1.jpg / 画像なし: missing image: HP/imgHtml/new_202601/area/kagoshima-deliveryhealth-area-_2.jpg
02_作成済み	小松原_テンプレート.txt	小松原	komatsubara	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\小松原_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-komatsubara.php / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-komatsubara.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html
